ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,binary
112,0.0234375,0.375,16.0,53000,75500,1951,0.24,1.04,0.024,0.04,0.011000000000000001,0.009000000000000001,0.021,0.0,0.002,0.011000000000000001,0.015,0.002,0.005,0.001,0.005,0
113,0.0234375,0.375,16.0,57700,70500,1999,0.06,0.9690000000000001,0.006999999999999999,0.175,0.005,0.034,0.012,0.004,0.0,0.004,0.005,0.0,0.002,0.02,0.0,0
114,0.0234375,0.375,16.0,58500,70000,1999,0.055999999999999994,0.956,0.006,0.165,0.006,0.028999999999999998,0.015,0.003,0.0,0.004,0.005,0.0,0.002,0.022000000000000002,0.0,0
115,0.0234375,0.375,16.0,59500,71000,1999,0.055999999999999994,0.956,0.006,0.165,0.006,0.028999999999999998,0.015,0.003,0.0,0.004,0.005,0.0,0.002,0.022000000000000002,0.0,0
116,0.0234375,0.375,16.0,68000,72000,1999,0.06,0.9690000000000001,0.006999999999999999,0.175,0.005,0.034,0.012,0.004,0.0,0.004,0.005,0.0,0.002,0.02,0.0,0
117,0.026785714,0.375,14.0,43700,73500,1951,0.284,0.9159999999999999,0.025,0.013000000000000001,0.011000000000000001,0.015,0.03,0.003,0.001,0.025,0.099,0.019,0.004,0.002,0.004,0
118,0.026785714,0.375,14.0,43800,74000,1951,0.285,0.9159999999999999,0.027000000000000003,0.013000000000000001,0.012,0.015,0.03,0.003,0.001,0.025,0.098,0.019,0.004,0.002,0.004,0
119,0.026785714,0.375,14.0,43800,78000,1951,0.285,0.9159999999999999,0.027000000000000003,0.013000000000000001,0.012,0.015,0.03,0.003,0.001,0.025,0.098,0.019,0.004,0.002,0.004,0
120,0.026785714,0.375,14.0,44200,77000,1951,0.2,0.52,0.027000000000000003,0.2,0.026000000000000002,0.016,0.057,0.02,0.0,0.13,0.2,0.019,0.0,0.0,0.0,0
121,0.026785714,0.375,14.0,47700,76500,1951,0.285,0.904,0.024,0.013000000000000001,0.011000000000000001,0.016,0.028999999999999998,0.003,0.001,0.025,0.09699999999999999,0.018000000000000002,0.004,0.002,0.004,0
122,0.026785714,0.375,14.0,47900,77500,1951,0.284,0.904,0.022000000000000002,0.013000000000000001,0.011000000000000001,0.017,0.028999999999999998,0.003,0.001,0.024,0.09699999999999999,0.018000000000000002,0.004,0.003,0.004,0
123,0.026785714,0.375,14.0,48200,77500,1951,0.284,0.9159999999999999,0.025,0.013000000000000001,0.011000000000000001,0.015,0.03,0.003,0.001,0.025,0.099,0.019,0.004,0.002,0.004,0
